bookId;reviewId;reviewText;
8595084742;R28DD7F6JEBWOG;O livro, que já havia lido há tempos e quero renovar a leitura, é simplesmente excelente e maravilhoso. A edição e encadernamento da editora são encantadoras, a capa é dura e totalmente ilustrada. O pôster é lindo e inclusive irei emoldurar :)Enfim, o produto veio em perfeito estado e é altamente recomendado por mim.Além disso, a entrega foi extremamente rápida, através da Total Express, e chegou antes do prazo (que já é enxuto). Eu fiz o pedido no dia 06/11 e chegou em minha residência no dia 11/11 (teve final de semana nesse período, sendo que o produto chegou em minha cidade no dia 09/11).Finalmente, tanto o produto quanto a entrega são perfeitos! Simplesmente isso.;
8595084742;R3HPBWZ2K0OS44;Somos capazes de sentir o cuidado e a paixão com que um produto foi feito ao colocar-mos as mãos nele. Esta edição da HarperCollins é este tipo de produto, aliás, todas as edições referentes a Tolkien publicados pela editora até o momento são este tipo de produto.A capa é maravilhosa (na parte superior e inferior da capa há inscrições em runas, em baixo relevo), papel de ótima qualidade e texto com boa diagramação. O livro possui um fitilho verde para marcar a página e contém desenhos feitos por Tolkien (alguns apenas com o traço preto e outros totalmente coloridos) e impressos de uma forma (qualidade) que parecem brilhar.Já havia lido o Hobbit e agora lerei novamente... Ansioso pela trilogia do Senhor dos Anéis no final do ano, já tenho outros livros da editora e é de admirar o cuidado que estão tendo.A coleção está ficando linda na estante (lombadas padronizadas).;
8595084742;R2F1U7RTCH8W09;Esse definitivamente é o melhor livro para quem deseja entrar no universo criado por Tolkien. A história do Hobbit pode parecer ter sido feita a princípio para crianças (e realmente foi), mas o desenrolar e seu desenvolvimento nos levam a algo grandioso que só podemos mensurar com a obra-prima do Tolkien que é o Senhor dos Anéis. Aliás, parabéns a Harper Collins por nos trazer finalmente, edições caprichadas e de qualidade. Não posso deixar também de elogiar o trabalho feito pelo conselho de tradução das novas edições que têm sido duramente criticado.Sigam em frente.Aliás àqueles que criticam tanto a nova tradução e se apegam a dois termos mudados (Orcs e Goblins que foram mudados foneticamente para Orques e Gobelins), parem de chatice e deixem de besteira. Muito pior foram as omissões e mudanças de trechos feitos no Senhor dos Anéis, e a maioria dos hoje críticos ficaram quietinhos com a língua dentro da boca...Vamos deixar de besteira e incentivar minha gente. Lógico que críticas são sempre bem-vindas. Mas críticas feitas com qualidade, tato, decência e não com o fígado e a bílis. Vamos comemorar que as obras do Professor Tolkien estão sendo reimpressas com material de qualidade e com o devido carinho que elas merecem. No mais aproveitem para saborear a delícia que é esse universo criado por esse grande gênio da fantasia. E que venha o Senhor dos Anéis no final do Ano!!!;
8595084742;R25WQ12O8PQI0S;Essa edição está primorosa. Quanto à história, se trata de uma aventura deliciosa de se ler, é daquelas que fazem as pessoas aprenderem a gostar de ler literatura de alto nível.;
8595084742;R28G4VBY1NEOMJ;Eu sou uma fã e amo as obras de J.R.R Tolkien, comprei este exemplar porque eu não tinha está edição e como colecionadora era de meu desejo obtê-lo, porém, fiquei decepcionada ao constatar que veio com uma das páginas danificadas, fora rasgada e ainda sim, me enviaram desta forma. Já havia comprado pela Amazon livros diversas vezes e nunca me ocorreu tal situação, contudo, aconteceu hoje.;
8595084742;R37KFNZDGC0P4A;Primeiro, preciso dizer que o livro é ainda mais bonito em mãos. Temos aqui uma edição de O Hobbit à altura da obra.Assim como os livros anteriores de Tolkien lançados pela Harper Collins Brasil, este é apresentado em capa dura, com ilustração de capa feita pelo mestre. As guardas contém o mapa da Terra-média e o da Montanha Solitária. A edição conta com fitilho marcador, diversas ilustrações de lugares e eventos marcantes, notas variadas que esmiuçam o conteúdo dos escritos. A diagramação e a revisão estão ótimas, propiciando uma leitura fluida e agradável. Inclui ainda um pôster para quem comprou na pré-venda.;
8595084742;RBZPIGV4NFRGL;Excelente trabalho da editora Harpercollins! Esta editora vem mantendo uma boa qualidade nos livros que vêm sendo lançados no Brasil. Esta edição conta até mesmo com filete marcador de páginas: algo que só vemos nas melhores edições de livros. Além disso foi realizado um excelente trabalho de retradução por parte do Reinaldo José Lopes!;
8595084742;R284EOUT9KM2RA;Livro com as pontas em capa dura quebradas, amassadas e com o papel rasgado. Um item de colecionador danificado. Nunca tive problemas com a Amazon, mas deixar que um livro nesse estado chegue ao cliente é triste.;
8595084742;R2GHG5EWYTX7MY;Recentemente comprei o livro O Hobbit ao meu filho de 13 anos, um adolescente apaixonado pelo universo do escritor J.R.R Tolkien. Não tivemos nenhum problema com a entrega do livro chegou até antes do prazo (14/01/2021). Mas após uma semana de uso no dia 21 notamos que o título do livro simplesmente apagou até só sobrar as letras O e H. Gostaria de devolver o livro e receber um novo, fico no aguardo de uma resposta!;
8595084742;R30WGHMVLE7INX;Produto em si ótimo. Podiam ter mais cuidado na entrega. Porém chegou com com capa traseira com um pequeno rasgo. Acabei colando pra não ter a dor de cabeça de trocar;
